age,education,hours-per-week,income,workclass_Public,workclass_Self-emp,marital-status_Single,race_Asian,race_Black,race_Hispanic,race_White,sex_Male
39,13,40,<=50K,True,False,True,False,False,False,True,True
50,13,13,<=50K,False,True,False,False,False,False,True,True
38,9,40,<=50K,False,False,True,False,False,False,True,True
53,7,40,<=50K,False,False,False,False,True,False,False,True
28,13,40,<=50K,False,False,False,False,True,False,False,False
37,14,40,<=50K,False,False,False,False,False,False,True,False
49,5,16,<=50K,False,False,False,False,True,False,False,False
52,9,45,>50K,False,True,False,False,False,False,True,True
31,14,50,>50K,False,False,True,False,False,False,True,False
42,13,40,>50K,False,False,False,False,False,False,True,True
37,10,80,>50K,False,False,False,False,True,False,False,True
30,13,40,>50K,True,False,False,True,False,False,False,True
23,13,30,<=50K,False,False,True,False,False,False,True,False
32,12,50,<=50K,False,False,True,False,True,False,False,True
40,11,40,>50K,False,False,False,True,False,False,False,True
34,4,45,<=50K,False,False,False,False,False,False,False,True
25,9,35,<=50K,False,True,True,False,False,False,True,True
32,9,40,<=50K,False,False,True,False,False,False,True,True
38,7,50,<=50K,False,False,False,False,False,False,True,True
38,14,45,>50K,False,True,True,False,False,False,True,False
40,16,60,>50K,False,False,False,False,False,False,True,True
54,9,20,<=50K,False,False,True,False,True,False,False,False
35,5,40,<=50K,True,False,False,False,True,False,False,True
43,7,40,<=50K,False,False,False,False,False,False,True,True
59,9,40,<=50K,False,False,True,False,False,False,True,False
56,13,40,>50K,True,False,False,False,False,False,True,True
19,9,40,<=50K,False,False,True,False,False,False,True,True
39,9,80,<=50K,False,False,True,False,False,False,True,True
49,9,40,<=50K,False,False,False,False,False,False,True,True
23,12,52,<=50K,True,False,True,False,False,False,True,True
20,10,44,<=50K,False,False,True,False,True,False,False,True
45,13,40,<=50K,False,False,True,False,False,False,True,True
30,10,40,<=50K,True,False,False,False,False,False,True,True
22,10,15,<=50K,True,False,False,False,True,False,False,True
48,7,40,<=50K,False,False,True,False,False,False,True,True
21,10,40,<=50K,False,False,True,False,False,False,True,True
19,9,25,<=50K,False,False,False,False,False,False,True,False
31,10,38,>50K,False,False,False,False,False,False,True,True
48,12,40,<=50K,False,True,False,False,False,False,True,True
38,5,43,<=50K,False,False,False,False,False,False,True,True
53,13,40,<=50K,False,True,False,False,False,False,True,True
24,13,50,<=50K,False,False,False,False,False,False,True,True
49,9,40,<=50K,False,False,True,False,False,False,True,False
25,9,35,<=50K,False,False,True,False,False,False,True,True
57,13,40,>50K,True,False,False,False,True,False,False,True
53,9,38,<=50K,False,False,False,False,False,False,True,True
44,14,40,<=50K,False,False,True,False,False,False,True,False
41,11,40,<=50K,True,False,False,False,False,False,True,True
29,11,43,<=50K,False,False,True,False,False,False,True,True
25,10,40,<=50K,False,False,False,False,False,True,False,False
18,9,30,<=50K,False,False,True,False,False,False,True,False
47,15,60,>50K,False,False,False,False,False,False,True,False
50,13,55,>50K,True,False,True,False,False,False,True,True
47,9,60,<=50K,False,True,True,False,False,False,True,True
43,10,40,>50K,False,False,False,False,False,False,True,True
46,3,40,<=50K,False,False,False,False,False,False,True,True
35,11,40,<=50K,False,False,False,False,False,False,True,True
41,9,48,<=50K,False,False,False,False,False,False,True,True
