age,education,hours-per-week,workclass_Public,workclass_Self-emp,marital-status_Single,race_Asian,race_Black,race_Hispanic,race_White,sex_Male,income_>50K
39,13,40,True,False,True,False,False,False,True,True,False
50,13,13,False,True,False,False,False,False,True,True,False
38,9,40,False,False,True,False,False,False,True,True,False
53,7,40,False,False,False,False,True,False,False,True,False
28,13,40,False,False,False,False,True,False,False,False,False
37,14,40,False,False,False,False,False,False,True,False,False
49,5,16,False,False,False,False,True,False,False,False,False
52,9,45,False,True,False,False,False,False,True,True,True
31,14,50,False,False,True,False,False,False,True,False,True
42,13,40,False,False,False,False,False,False,True,True,True
37,10,80,False,False,False,False,True,False,False,True,True
30,13,40,True,False,False,True,False,False,False,True,True
23,13,30,False,False,True,False,False,False,True,False,False
32,12,50,False,False,True,False,True,False,False,True,False
40,11,40,False,False,False,True,False,False,False,True,True
34,4,45,False,False,False,False,False,False,False,True,False
25,9,35,False,True,True,False,False,False,True,True,False
32,9,40,False,False,True,False,False,False,True,True,False
38,7,50,False,False,False,False,False,False,True,True,False
38,14,45,False,True,True,False,False,False,True,False,True
40,16,60,False,False,False,False,False,False,True,True,True
54,9,20,False,False,True,False,True,False,False,False,False
35,5,40,True,False,False,False,True,False,False,True,False
43,7,40,False,False,False,False,False,False,True,True,False
59,9,40,False,False,True,False,False,False,True,False,False
56,13,40,True,False,False,False,False,False,True,True,True
19,9,40,False,False,True,False,False,False,True,True,False
39,9,80,False,False,True,False,False,False,True,True,False
49,9,40,False,False,False,False,False,False,True,True,False
23,12,52,True,False,True,False,False,False,True,True,False
20,10,44,False,False,True,False,True,False,False,True,False
45,13,40,False,False,True,False,False,False,True,True,False
30,10,40,True,False,False,False,False,False,True,True,False
22,10,15,True,False,False,False,True,False,False,True,False
48,7,40,False,False,True,False,False,False,True,True,False
21,10,40,False,False,True,False,False,False,True,True,False
19,9,25,False,False,False,False,False,False,True,False,False
31,10,38,False,False,False,False,False,False,True,True,True
48,12,40,False,True,False,False,False,False,True,True,False
38,5,43,False,False,False,False,False,False,True,True,False
53,13,40,False,True,False,False,False,False,True,True,False
24,13,50,False,False,False,False,False,False,True,True,False
49,9,40,False,False,True,False,False,False,True,False,False
25,9,35,False,False,True,False,False,False,True,True,False
57,13,40,True,False,False,False,True,False,False,True,True
